,retail_recreation,grocery_pharmacy,parks,transit_stations,workplace,residential,second_level_subdivision,country_code,first_level_subdivision
0,-67.0,-13.0,-56.0,-61.0,-59,30.0,None,IL,None
0,-94.0,-85.0,-90.0,-87.0,-63,24.0,None,IT,None
1,-94.0,-84.0,-89.0,-90.0,-63,24.0,None,IT,Abruzzo
2,-95.0,-88.0,-91.0,-86.0,-67,36.0,None,IT,Aosta
3,-94.0,-85.0,-88.0,-88.0,-64,25.0,None,IT,Apulia
4,-91.0,-84.0,-77.0,-86.0,-58,22.0,None,IT,Basilicata
5,-94.0,-92.0,-85.0,-90.0,-63,22.0,None,IT,Calabria
6,-94.0,-78.0,-91.0,-89.0,-67,23.0,None,IT,Campania
7,-96.0,-94.0,-88.0,-88.0,-65,24.0,None,IT,Emilia-Romagna
8,-95.0,-94.0,-90.0,-83.0,-59,24.0,None,IT,Friuli-Venezia Giulia
9,-94.0,-76.0,-90.0,-88.0,-62,24.0,None,IT,Lazio
10,-94.0,-80.0,-91.0,-85.0,-60,23.0,None,IT,Liguria
11,-95.0,-81.0,-91.0,-89.0,-65,24.0,None,IT,Lombardy
12,-95.0,-88.0,-91.0,-86.0,-64,26.0,None,IT,Marche
13,-91.0,-82.0,-84.0,-80.0,-60,29.0,None,IT,Molise
14,-94.0,-82.0,-89.0,-85.0,-59,23.0,None,IT,Piedmont
15,-94.0,-92.0,-87.0,-81.0,-56,22.0,None,IT,Sardinia
16,-95.0,-93.0,-91.0,-89.0,-68,25.0,None,IT,Sicily
17,-96.0,-94.0,-93.0,-86.0,-65,25.0,None,IT,Trentino-South Tyrol
18,-94.0,-84.0,-91.0,-85.0,-62,25.0,None,IT,Tuscany
19,-95.0,-89.0,-86.0,-81.0,-61,25.0,None,IT,Umbria
